NearRank,RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,To_ID,From_ID,Total_Kilometers,Total_Minutes,From_Agency,From_Fire_Name,From_Latitude,From_Longitude,From_Hectares__Ha_,From_Stage_of_Control,From_Time_Zone,From_GlobalID,From_Start_Date,To_CUSTODIAN_ORG_DESCRIPTION,To_BUSINESS_CATEGORY_CLASS,To_BUSINESS_CATEGORY_DESCRIPTIO,To_OCCUPANT_TYPE_DESCRIPTION,To_SOURCE_DATA_ID,To_SUPPLIED_SOURCE_ID_IND,To_FACILITY_NAME,To_DESCRIPTION,To_PHYSICAL_ADDRESS,To_MAILING_ADDRESS,To_STREET_ADDRESS,To_POSTAL_CODE,To_LOCALITY,To_CONTACT_PHONE,To_CONTACT_EMAIL,To_CONTACT_FAX,To_WEBSITE_URL,To_IMAGE_URL,To_LATITUDE,To_LONGITUDE,To_KEYWORDS,To_DATE_UPDATED,To_SITE_GEOCODED_IND,To_RESPONDER_FACILITY_TYPE,To_RESPONDER_GROUP_TYPE,To_SE_ANNO_CAD_DATA,RouteLayerItemID,RouteLayerItemURL
1,Location 2 - Location 467,,,,,1153,14,24.72751241,19.73252603,bc,2023-G80223,56.4112,-121.233,2947.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-05-05 22:06:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2041,N,Charlie Lake Vol Fire Dept,,"13065 Firehall Rd, Charlie Lake, BC","13065 Firehall Rd, Charlie Lake, BC",13065 Firehall Rd,,Charlie Lake,,,,,,56.2800847,-120.9620537,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 3 - Location 440,,,,,1267,23,103.33045103,108.88853124,bc,2023-R21286,53.6527,-126.824,0.0,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 18:28:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1950,N,Southside Fire Dept,,"1122 Whitney Way, Southbank, BC","1122 Whitney Way, Southbank, BC",1122 Whitney Way,,Southbank,,,,,,54.0227273,-125.7698911,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 10 - Location 87,,,,,1863,33,363.60881294,277.08000549,bc,2023-G90949,59.628,-126.953,5278.13,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-06-28 00:51:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00:28,,HALL,FIRE,,,
1,Location 12 - Location 440,,,,,1267,38,46.73217361,36.2091632,bc,2023-R11387,53.7504,-126.174,12142.0,OC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-09 19:20:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1950,N,Southside Fire Dept,,"1122 Whitney Way, Southbank, BC","1122 Whitney Way, Southbank, BC",1122 Whitney Way,,Southbank,,,,,,54.0227273,-125.7698911,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 13 - Location 507,,,,,2989,40,343.29343017,461.45544864,bc,2023-G50912,55.7693,-126.376,816.9,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-06-26 00:45:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2017,N,Mackenzie Fire Dept,,"60 Centennial Dr, Mackenzie, BC","60 Centennial Dr, Mackenzie, BC",60 Centennial Dr,,Mackenzie,,,,,,55.3384488,-123.0978155,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 14 - Location 217,,,,,2393,41,326.12823156,244.81577907,bc,2023-G92594,59.9374,-127.762,316.5,OC,PDT,{00000000-0000-0000-0000-000000000000},2023-08-07 18:51:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2044,N,Dease Lake Fire Dept,,"63 Stikine Ave, Dease Lake, BC","63 Stikine Ave, Dease Lake, BC",63 Stikine Ave,,Dease Lake,,,,,,58.435846,-129.9903625,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 16 - Location 431,,,,,1539,43,65.4573753,74.47724444,bc,2023-R21225,54.0392,-126.826,86.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 02:03:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1977,N,Houston Fire Dept,,"3382 11th St, Houston, BC","3382 11th St, Houston, BC",3382 11th St,,Houston,,,,,,54.3986072,-126.6476109,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 25 - Location 127,,,,,2075,65,83.11811079,112.98022828,bc,2023-G11293,53.4815,-123.847,2420.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 20:50:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1951,N,Vanderhoof Fire Dept,,"2230 Nechako Ave, Vanderhoof, BC","2230 Nechako Ave, Vanderhoof, BC",2230 Nechako Ave,,Vanderhoof,,,,,,54.0133342,-124.0140234,fire; fire hall; fire station,2023-10-10 23:00:28,,HALL,FIRE,,,
1,Location 26 - Location 107,,,,,1931,66,13.58166878,13.350218,bc,2023-V81938,49.6086,-126.112,121.87,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-07-20 21:46:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1568,N,Gold River Vol Fire Dept,,"499 Muchalat Dr, Gold River, BC","499 Muchalat Dr, Gold River, BC",499 Muchalat Dr,,Gold River,,,,,,49.7806033,-126.0475636,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
1,Location 27 - Location 77,,,,,2651,67,9.33165986,13.99667221,bc,2023-V80527,50.3709,-126.044,230.0,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-05-29 21:34:00,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1707,N,Sayward Vol Fire Dept Hall 1,,"620 Kelsey Way, Sayward, BC","620 Kelsey Way, Sayward, BC",620 Kelsey Way,,Sayward,,,,,,50.3786464,-125.9593773,fire; fire hall; fire station,2023-10-10 23:00:29,,HALL,FIRE,,,
