From_ID,To_ID,NearRank,From_Agency,From_Fire_Name,From_Latitude,From_Longitude,From_Hectares__Ha_,From_Stage_of_Control,From_Time_Zone,From_GlobalID,From_Start_Date,To_CUSTODIAN_ORG_DESCRIPTION,To_BUSINESS_CATEGORY_CLASS,To_BUSINESS_CATEGORY_DESCRIPTIO,To_OCCUPANT_TYPE_DESCRIPTION,To_SOURCE_DATA_ID,To_SUPPLIED_SOURCE_ID_IND,To_FACILITY_NAME,To_DESCRIPTION,To_PHYSICAL_ADDRESS,To_MAILING_ADDRESS,To_STREET_ADDRESS,To_POSTAL_CODE,To_LOCALITY,To_CONTACT_PHONE,To_CONTACT_EMAIL,To_CONTACT_FAX,To_WEBSITE_URL,To_IMAGE_URL,To_LATITUDE,To_LONGITUDE,To_KEYWORDS,To_DATE_UPDATED,To_SITE_GEOCODED_IND,To_RESPONDER_FACILITY_TYPE,To_RESPONDER_GROUP_TYPE,To_SE_ANNO_CAD_DATA,Total_Kilometers
9,1863,1,bc,2023-G91021,59.7755,-125.343,12,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-01 0:43,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,185.1183859
12,1153,1,bc,2023-G80223,56.4112,-121.233,2947,UC,PDT,{00000000-0000-0000-0000-000000000000},2023-05-05 22:06,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2041,N,Charlie Lake Vol Fire Dept,,"13065 Firehall Rd, Charlie Lake, BC","13065 Firehall Rd, Charlie Lake, BC",13065 Firehall Rd,,Charlie Lake,,,,,,56.2800847,-120.9620537,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,22.22114901
20,1267,1,bc,2023-R21286,53.6527,-126.824,0,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 18:28,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1950,N,Southside Fire Dept,,"1122 Whitney Way, Southbank, BC","1122 Whitney Way, Southbank, BC",1122 Whitney Way,,Southbank,,,,,,54.0227273,-125.7698911,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,80.69204654
22,1863,1,bc,2023-G90292,58.0517,-123.325,21056,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-05-13 23:28,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,91.03928819
23,2901,1,bc,2023-R51710,53.125,-127.651,230,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-15 2:41,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1884,N,Ocean Falls Vol Fire Dept,,"1 Fifth St, Ocean Falls, BC","1 Fifth St, Ocean Falls, BC",1 Fifth St,,Ocean Falls,,,,,,52.3542126,-127.6918377,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,85.81806063
24,2379,1,bc,2023-R21609,55.0409,-125.894,168,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-12 16:24,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1997,N,Granisle Fire Dept,,"37 Babine Dr, Granisle, BC","37 Babine Dr, Granisle, BC",37 Babine Dr,,Granisle,,,,,,54.885739,-126.2043768,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,26.33644503
25,2901,1,bc,2023-R51711,53.114,-127.599,512,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-15 2:46,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1884,N,Ocean Falls Vol Fire Dept,,"1 Fifth St, Ocean Falls, BC","1 Fifth St, Ocean Falls, BC",1 Fifth St,,Ocean Falls,,,,,,52.3542126,-127.6918377,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,84.78182865
26,1941,1,bc,2023-R11289,53.2987,-126.87,0.01,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-07-08 19:47,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,1887,N,Bella Coola Vol Fire Dept,,"613 Cliff St, Bella Coola, BC","613 Cliff St, Bella Coola, BC",613 Cliff St,,Bella Coola,,,,,,52.3717676,-126.757344,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,103.4302837
27,1863,1,bc,2023-G90776,58.2226,-123.885,804.46,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-06-14 4:03,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2047,N,Fort Nelson Fire Dept,,"5404 48th Ave, Fort Nelson, BC","5404 48th Ave, Fort Nelson, BC",5404 48th Ave,,Fort Nelson,,,,,,58.8025448,-122.7093647,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,94.16844857
28,2393,1,bc,2023-G90956,59.5248,-126.651,12107.2,BH,PDT,{00000000-0000-0000-0000-000000000000},2023-06-28 3:39,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",provincialProtectiveServices,Provincial protective services,BC First Responders,2044,N,Dease Lake Fire Dept,,"63 Stikine Ave, Dease Lake, BC","63 Stikine Ave, Dease Lake, BC",63 Stikine Ave,,Dease Lake,,,,,,58.435846,-129.9903625,fire; fire hall; fire station,2023-10-10 23:00,,HALL,FIRE,,227.1044003
